id,source,target,type,label,date,outcome,presetTags,title
e549,PL_KASHMIR,P_NAROPA,meeting_visit,meeting / visit,1026–1029 and later,Site of Naropa's study and later a major locus of his disciples and Kagyu-related transmission.,"[""drukpa"", ""kagyu""]",Meeting/visit: Kashmir ↔ Naropa<br>Date(s): 1026–1029 and later<br>Outcome: Site of Naropa&#x27;s study and later a major locus of his disciples and Kagyu-related transmission.
e550,EXP_009,ENT_PLA_EX_005,explorer_link,documented / linked,,,[],Explorer ↔ Entity association
e551,EXP_029,ENT_PLA_EX_016,explorer_link,documented / linked,,,[],Explorer ↔ Entity association
e552,EXP_053,ENT_PLA_EX_016,explorer_link,documented / linked,,,[],Explorer ↔ Entity association
e553,EXP_070,ENT_PLA_EX_016,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e554,YOL_PLA_0021,T_DRUKPA,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e555,YOL_PLA_0021,T_KAGYU,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e556,YOL_PLA_0021,YOL_PRA_0007,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e557,YOL_PLA_0021,YOL_TRA_0005,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e558,YOL_PLA_0021,YOL_TRA_0010,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e559,YOL_PLA_0021,YOL_TRA_0012,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e560,EXP_070,ENT_PLA_EX_043,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e561,YOL_PLA_0022,T_DRUKPA,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e562,YOL_PLA_0022,YOL_PRA_0007,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e563,YOL_PLA_0022,YOL_PRD_0006,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e564,YOL_PLA_0022,YOL_TRA_0005,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e565,EXP_064,ENT_PLA_EX_041,explorer_link,documented / linked,,,[],Explorer ↔ Entity association
e566,EXP_032,ENT_PLA_EX_020,explorer_link,documented / linked,,,[],Explorer ↔ Entity association
e567,YOL_PLA_0023,C_MAHAMUDRA,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e568,YOL_PLA_0023,C_RETREAT,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
